fecha,departamento,municipio,nombre_cultivo,periodo,area_sembrada,area_cosechada,produccion_ton,rendimiento_t_ha,ciclo
2019,Casanare,Aguazul,Arroz mecanizado,2019A,5618.0,5618.0,,5.6,Transitorio
2019,Casanare,Aguazul,Cacao,2019,67.0,67.0,50.0,0.75,Permanente
2019,Casanare,Aguazul,Caña panelera,2019,51.0,41.0,205.0,5.0,Permanente
2019,Casanare,Aguazul,Citricos,2019,40.0,20.0,360.0,18.0,Permanente
2019,Casanare,Aguazul,Maiz forrajero,2019A,25.0,25.0,500.0,20.0,Transitorio
2019,Casanare,Aguazul,Maiz forrajero,2019B,33.0,33.0,,45.0,Transitorio
2019,Casanare,Aguazul,Maiz tradicional,2019A,30.0,30.0,53.0,1.75,Transitorio
2019,Casanare,Aguazul,Maiz tradicional,2019B,432.0,432.0,605.0,1.4,Transitorio
2019,Casanare,Aguazul,Palma de aceite,2019,2345.0,3.1,,3.24,Permanente
2019,Casanare,Aguazul,Papaya,2019,20.0,17.0,680.0,40.0,Permanente
2019,Casanare,Aguazul,Piña,2019,160.0,160.0,9.6,60.0,Permanente
2019,Casanare,Aguazul,Platano,2019,200.0,200.0,2.6,13.0,Permanente
2019,Casanare,Aguazul,Sacha inchi,2019,1.0,1.0,3.0,2.5,Permanente
2019,Casanare,Aguazul,Yuca,2019,30.0,30.0,360.0,12.0,Anual
2019,Casanare,Chameza,Arracacha,2019,4.0,4.0,28.0,7.0,Anual
2019,Casanare,Chameza,Cafe,2019,12.0,7.0,18.0,2.5,Permanente
2019,Casanare,Chameza,Caña miel,2019,14.0,12.0,30.0,2.5,Permanente
2019,Casanare,Chameza,Caña panelera,2019,14.0,12.0,42.0,3.5,Permanente
2019,Casanare,Chameza,Lulo,2019,134.0,124.0,3.1,25.0,Permanente
2019,Casanare,Chameza,Maiz tradicional,2019A,60.0,60.0,24.0,0.4,Transitorio
2019,Casanare,Chameza,Maiz tradicional,2019B,67.0,67.0,27.0,0.4,Transitorio
2019,Casanare,Chameza,Platano,2019,10.0,8.0,64.0,8.0,Permanente
2019,Casanare,Chameza,Yuca,2019,40.0,40.0,240.0,6.0,Anual
2019,Casanare,Hato corozal,Arroz mecanizado,2019A,1.42,1.42,,5.6,Transitorio
2019,Casanare,Hato corozal,Arroz mecanizado,2019B,1128.0,1128.0,,5.83,Transitorio
2019,Casanare,Hato corozal,Caucho,2019,150.0,150.0,270.0,1.8,Permanente
2019,Casanare,Hato corozal,Maracuya,2019,10.0,10.0,250.0,25.0,Permanente
2019,Casanare,Hato corozal,Papaya,2019,60.0,60.0,1.5,25.0,Permanente
2019,Casanare,Hato corozal,Piña,2019,18.0,18.0,720.0,40.0,Permanente
2019,Casanare,Hato corozal,Platano,2019,400.0,340.0,4.08,12.0,Permanente
2019,Casanare,Hato corozal,Yuca,2019,10.0,10.0,120.0,12.0,Anual
2019,Casanare,La salina,Aguacate,2019,25.0,14.0,21.0,1.5,Permanente
2019,Casanare,La salina,Arracacha,2019,10.0,10.0,43.0,4.3,Anual
2019,Casanare,La salina,Arveja,2019A,20.0,20.0,16.0,0.8,Transitorio
2019,Casanare,La salina,Arveja,2019B,15.0,15.0,12.0,0.8,Transitorio
2019,Casanare,La salina,Cafe,2019,94.0,84.0,80.0,0.96,Permanente
2019,Casanare,La salina,Caña panelera,2019,31.0,30.0,120.0,4.0,Permanente
2019,Casanare,La salina,Citricos,2019,9.0,7.0,16.0,2.5,Permanente
2019,Casanare,La salina,Malanga,2019,2.0,2.0,8.0,4.0,Anual
2019,Casanare,La salina,Mora,2019,9.0,8.0,45.0,6.0,Permanente
2019,Casanare,La salina,Platano,2019,69.0,69.0,138.0,2.0,Permanente
2019,Casanare,La salina,Yuca,2019,2.0,2.0,10.0,5.0,Anual
2019,Casanare,Mani,Arroz mecanizado,2019A,22707.0,22707.0,,5.6,Transitorio
2019,Casanare,Mani,Cacao,2019,321.0,121.0,61.0,0.5,Permanente
2019,Casanare,Mani,Maiz tradicional,2019A,50.0,50.0,140.0,2.8,Transitorio
2019,Casanare,Mani,Maiz tradicional,2019B,54.0,54.0,151.0,2.8,Transitorio
2019,Casanare,Mani,Palma de aceite,2019,26381.0,23936.0,,3.68,Permanente
2019,Casanare,Mani,Piña,2019,4.0,4.0,180.0,45.0,Permanente
2019,Casanare,Mani,Platano,2019,377.0,247.0,,17.0,Permanente
2019,Casanare,Mani,Yuca,2019,100.0,100.0,1.5,15.0,Anual
2019,Casanare,Monterrey,Aguacate,2019,159.0,62.0,246.0,4.0,Permanente
2019,Casanare,Monterrey,Cacao,2019,54.0,6.0,3.0,0.5,Permanente
2019,Casanare,Monterrey,Cafe,2019,167.0,138.0,206.0,1.5,Permanente
2019,Casanare,Monterrey,Caucho,2019,475.0,123.0,74.0,0.6,Permanente
2019,Casanare,Monterrey,Citricos,2019,27.0,22.0,269.0,12.0,Permanente
2019,Casanare,Monterrey,Maiz tecnificado,2019A,142.0,142.0,426.0,3.0,Transitorio
2019,Casanare,Monterrey,Maiz tecnificado,2019B,157.0,157.0,471.0,3.0,Transitorio
2019,Casanare,Monterrey,Maiz tradicional,2019A,20.0,20.0,44.0,2.2,Transitorio
2019,Casanare,Monterrey,Maiz tradicional,2019B,150.0,150.0,225.0,1.5,Transitorio
2019,Casanare,Monterrey,Maracuya,2019,12.0,12.0,336.0,28.0,Permanente
2019,Casanare,Monterrey,Palma de aceite,2019,1252.0,767.0,,3.46,Permanente
2019,Casanare,Monterrey,Piña,2019,25.0,8.0,546.0,65.0,Permanente
2019,Casanare,Monterrey,Platano,2019,66.0,35.0,1.05,30.0,Permanente
2019,Casanare,Monterrey,Sabila,2019,17.0,17.0,680.0,40.0,Permanente
2019,Casanare,Monterrey,Yuca,2019,100.0,100.0,1.5,15.0,Anual
2019,Casanare,Nunchia,Aguacate,2019,12.0,6.0,120.0,20.0,Permanente
2019,Casanare,Nunchia,Arroz mecanizado,2019A,11171.0,11171.0,,5.6,Transitorio
2019,Casanare,Nunchia,Arroz mecanizado,2019B,3385.0,3385.0,,5.83,Transitorio
2019,Casanare,Nunchia,Cacao,2019,48.0,28.0,14.0,0.5,Permanente
2019,Casanare,Nunchia,Cafe,2019,246.0,190.0,76.0,0.4,Permanente
2019,Casanare,Nunchia,Caña panelera,2019,50.0,40.0,112.0,2.8,Permanente
2019,Casanare,Nunchia,Citricos,2019,12.0,12.0,180.0,15.0,Permanente
2019,Casanare,Nunchia,Maiz tradicional,2019A,80.0,80.0,84.0,1.05,Transitorio
2019,Casanare,Nunchia,Maiz tradicional,2019B,161.0,161.0,242.0,1.5,Transitorio
2019,Casanare,Nunchia,Malanga,2019,10.0,10.0,120.0,12.0,Anual
